Product,Category,Unit_Price,Quantity,Discount,Total_Price
Mezzo Mix,Soft Drinks,0.59,10,0.0,5.9
Rauch Multivitamin,Juices,2.45,6,0.0,14.7
San Pellegrino,Water,0.89,12,0.0,10.68
Selters,Water,1.74,85,0.1,133.11
Volvic Touch,Water,1.38,13,0.0,17.94
Mango Juice,Juices,2.39,8,0.1,17.21
Mezzo Mix,Soft Drinks,0.61,3,0.0,1.83
Vittel,Water,0.58,9,0.0,5.22
Sprite,Soft Drinks,0.6,42,0.05,23.94
Hohes C Orange,Juices,1.86,11,0.0,20.46
Havana Club,Alcoholic Beverages,29.2,43,0.05,1192.82
Jever,Alcoholic Beverages,1.99,11,0.0,21.89
Warsteiner,Alcoholic Beverages,2.18,43,0.05,89.05
Merlot,Alcoholic Beverages,8.78,25,0.1,197.55
Rockstar,Soft Drinks,2.27,1,0.0,2.27
Vio Wasser,Water,1.61,1,0.0,1.61
Selters,Water,0.49,1,0.0,0.49
Fanta,Soft Drinks,1.19,4,0.0,4.76
Warsteiner,Alcoholic Beverages,1.74,87,0.1,136.24
Fritz-Kola,Soft Drinks,2.14,42,0.1,80.89
Apollinaris,Water,0.66,32,0.05,20.06
Cranberry Juice,Juices,2.39,44,0.1,94.64
Volvic Touch,Water,1.01,24,0.05,23.03
Evian,Water,1.39,36,0.05,47.54
Havana Club,Alcoholic Beverages,12.58,7,0.0,88.06
Jever,Alcoholic Beverages,1.94,2,0.0,3.88
Mountain Dew,Soft Drinks,0.99,7,0.0,6.93
Vio Wasser,Water,2.25,87,0.15,166.39
Vittel,Water,0.78,20,0.05,14.82
Vio Wasser,Water,1.41,100,0.15,119.85
Apollinaris,Water,0.93,12,0.0,11.16
Rotkäppchen Sekt,Alcoholic Beverages,8.05,5,0.0,40.25
Evian,Water,1.24,77,0.05,90.71
Fritz-Kola,Soft Drinks,2.51,88,0.1,198.79
Vio Wasser,Water,1.3,42,0.1,49.14
Jack Daniels,Alcoholic Beverages,50.25,7,0.0,351.75
Mango Juice,Juices,3.31,13,0.0,43.03
Tomato Juice,Juices,3.23,5,0.0,16.15
Sprite,Soft Drinks,1.51,74,0.1,100.57
Volvic Touch,Water,1.04,65,0.05,64.22
Rauch Multivitamin,Juices,2.45,4,0.0,9.8
Rauch Multivitamin,Juices,2.31,10,0.0,23.1
Volvic,Water,0.55,9,0.0,4.95
Hohes C Orange,Juices,1.75,4,0.0,7.0
Tomato Juice,Juices,1.73,18,0.1,28.03
Club Mate,Soft Drinks,2.19,14,0.0,30.66
Johnnie Walker,Alcoholic Beverages,40.56,58,0.15,1999.61
Vittel,Water,0.66,80,0.05,50.16
Vio Wasser,Water,1.66,5,0.0,8.3
Volvic Touch,Water,1.42,15,0.0,21.3
Volvic Touch,Water,1.42,11,0.0,15.62
Volvic,Water,0.55,2,0.0,1.1
Rauch Multivitamin,Juices,2.31,12,0.0,27.72
Rauch Multivitamin,Juices,2.39,65,0.1,139.82
Erdinger Weißbier,Alcoholic Beverages,2.04,4,0.0,8.16
Augustiner,Alcoholic Beverages,1.16,2,0.0,2.32
Sauvignon Blanc,Alcoholic Beverages,9.09,14,0.0,127.26
San Pellegrino,Water,0.86,7,0.0,6.02
Club Mate,Soft Drinks,2.19,15,0.0,32.85
Volvic,Water,0.95,89,0.15,71.87
Volvic,Water,0.57,5,0.0,2.85
Rauch Multivitamin,Juices,2.38,9,0.0,21.42
Club Mate,Soft Drinks,2.13,12,0.0,25.56
Sprite,Soft Drinks,0.56,9,0.0,5.04
Evian,Water,1.23,15,0.0,18.45
Veuve Clicquot,Alcoholic Beverages,129.14,79,0.1,9181.85
San Pellegrino,Water,0.86,2,0.0,1.72
Volvic,Water,0.53,15,0.05,7.55
Mountain Dew,Soft Drinks,0.93,4,0.0,3.72
Mountain Dew,Soft Drinks,1.27,20,0.05,24.13
Mezzo Mix,Soft Drinks,1.08,73,0.1,70.96
Vittel,Water,0.56,13,0.0,7.28
Veuve Clicquot,Alcoholic Beverages,45.11,55,0.1,2232.95
Havana Club,Alcoholic Beverages,13.35,7,0.0,93.45
Chardonnay,Alcoholic Beverages,12.47,86,0.1,965.18
Tomato Juice,Juices,3.8,82,0.1,280.44
Krombacher,Alcoholic Beverages,1.61,47,0.1,68.1
Coca-Cola,Soft Drinks,1.1,14,0.0,15.4
Mango Juice,Juices,3.12,3,0.0,9.36
Veuve Clicquot,Alcoholic Beverages,54.41,71,0.05,3669.95
Volvic Touch,Water,1.46,6,0.0,8.76
Pepsi,Soft Drinks,1.67,37,0.1,55.61
Volvic,Water,0.55,5,0.0,2.75
Jever,Alcoholic Beverages,1.99,11,0.0,21.89
Mezzo Mix,Soft Drinks,1.2,68,0.1,73.44
Tomato Juice,Juices,1.99,32,0.05,60.5
Bacardi,Alcoholic Beverages,40.2,88,0.15,3006.96
Schwip Schwap,Soft Drinks,1.2,11,0.0,13.2
Erdinger Weißbier,Alcoholic Beverages,1.92,10,0.0,19.2
Hohes C Orange,Juices,1.86,11,0.0,20.46
Rockstar,Soft Drinks,2.27,9,0.0,20.43
San Pellegrino,Water,0.91,3,0.0,2.73
San Pellegrino,Water,0.91,4,0.0,3.64
Fritz-Kola,Soft Drinks,2.05,12,0.0,24.6
Passion Fruit Juice,Juices,2.99,28,0.1,75.35
Hohes C Orange,Juices,1.8,9,0.0,16.2
Warsteiner,Alcoholic Beverages,1.05,5,0.0,5.25
Rauch Multivitamin,Juices,2.45,12,0.0,29.4
Augustiner,Alcoholic Beverages,2.57,99,0.1,228.99
Volvic Touch,Water,1.38,10,0.0,13.8
Rauch Multivitamin,Juices,2.38,3,0.0,7.14
Apollinaris,Water,0.99,4,0.0,3.96
Evian,Water,1.31,12,0.0,15.72
Volvic Touch,Water,1.36,73,0.1,89.35
San Pellegrino,Water,0.91,1,0.0,0.91
Mountain Dew,Soft Drinks,0.93,19,0.05,16.79
Rockstar,Soft Drinks,2.34,11,0.0,25.74
Cranberry Juice,Juices,3.46,13,0.0,44.98
Club Mate,Soft Drinks,2.32,59,0.1,123.19
Augustiner,Alcoholic Beverages,2.22,82,0.15,154.73
Hohes C Orange,Juices,1.86,7,0.0,13.02
Passion Fruit Juice,Juices,3.11,1,0.0,3.11
Pepsi,Soft Drinks,1.64,13,0.0,21.32
Fritz-Kola,Soft Drinks,2.12,4,0.0,8.48
Pepsi,Soft Drinks,1.74,13,0.0,22.62
Rockstar,Soft Drinks,2.6,32,0.05,79.04
Tanqueray,Alcoholic Beverages,36.73,99,0.1,3272.64
Rauch Multivitamin,Juices,2.45,12,0.0,29.4
Red Bull,Soft Drinks,2.35,14,0.0,32.9
Evian,Water,1.69,82,0.1,124.72
Mango Juice,Juices,3.31,15,0.0,49.65
San Pellegrino,Water,0.86,6,0.0,5.16
Coca-Cola,Soft Drinks,1.14,9,0.0,10.26
Veuve Clicquot,Alcoholic Beverages,73.88,79,0.1,5252.87
Pepsi,Soft Drinks,0.7,23,0.05,15.29
Coca-Cola,Soft Drinks,0.81,83,0.1,60.51
Passion Fruit Juice,Juices,2.68,21,0.05,53.47
Volvic Touch,Water,1.38,5,0.0,6.9
Granini Apple,Juices,1.69,5,0.0,8.45
Fanta,Soft Drinks,1.19,6,0.0,7.14
Red Bull,Soft Drinks,2.2,19,0.05,39.71
Granini Apple,Juices,2.18,45,0.1,88.29
Erdinger Weißbier,Alcoholic Beverages,2.68,87,0.1,209.84
Passion Fruit Juice,Juices,3.11,13,0.0,40.43
Hohes C Orange,Juices,1.86,2,0.0,3.72
Fanta,Soft Drinks,0.68,85,0.1,52.02
San Pellegrino,Water,0.89,5,0.0,4.45
Rockstar,Soft Drinks,4.22,99,0.1,376.0
Coca-Cola,Soft Drinks,1.04,2,0.0,2.08
Red Bull,Soft Drinks,2.78,26,0.05,68.67
Rauch Multivitamin,Juices,2.31,2,0.0,4.62
Beck's,Alcoholic Beverages,1.47,100,0.1,132.3
Passion Fruit Juice,Juices,2.93,11,0.0,32.23
Vio Wasser,Water,1.71,10,0.0,17.1
Mango Juice,Juices,3.89,7,0.05,25.87
Rauch Multivitamin,Juices,2.38,7,0.0,16.66
Beck's,Alcoholic Beverages,1.46,70,0.15,86.87
Cranberry Juice,Juices,3.67,10,0.0,36.7
Apollinaris,Water,1.7,85,0.1,130.05
Tomato Juice,Juices,1.64,9,0.05,14.02
Selters,Water,0.49,12,0.0,5.88
Rockstar,Soft Drinks,3.02,65,0.1,176.67
Selters,Water,0.46,12,0.0,5.52
Warsteiner,Alcoholic Beverages,1.05,3,0.0,3.15
Red Bull,Soft Drinks,2.35,5,0.0,11.75
Fanta,Soft Drinks,1.23,13,0.0,15.99
Schwip Schwap,Soft Drinks,1.24,7,0.0,8.68
Apollinaris,Water,0.42,23,0.05,9.18
Tomato Juice,Juices,1.78,4,0.05,6.76
Rauch Multivitamin,Juices,1.63,45,0.05,69.68
Gerolsteiner,Water,0.45,26,0.1,10.53
Rockstar,Soft Drinks,2.34,10,0.0,23.4
Selters,Water,0.47,9,0.0,4.23
Hohes C Orange,Juices,1.49,61,0.05,86.35
Volvic,Water,0.58,11,0.0,6.38
Mango Juice,Juices,3.31,8,0.0,26.48
Volvic Touch,Water,1.31,67,0.05,83.38
Volvic Touch,Water,1.46,10,0.0,14.6
Mezzo Mix,Soft Drinks,0.61,13,0.0,7.93
Cranberry Juice,Juices,3.46,3,0.0,10.38
San Pellegrino,Water,0.86,7,0.0,6.02
Selters,Water,1.1,100,0.1,99.0
Evian,Water,1.26,15,0.0,18.9
Jack Daniels,Alcoholic Beverages,51.76,7,0.0,362.32
Mango Juice,Juices,3.12,14,0.0,43.68
Havana Club,Alcoholic Beverages,12.58,10,0.0,125.8
Sprite,Soft Drinks,0.56,3,0.0,1.68
Johnnie Walker,Alcoholic Beverages,35.52,6,0.0,213.12
Tomato Juice,Juices,3.43,2,0.0,6.86
Schwip Schwap,Soft Drinks,1.24,1,0.0,1.24
Erdinger Weißbier,Alcoholic Beverages,2.04,9,0.0,18.36
Beck's,Alcoholic Beverages,1.98,97,0.1,172.85
Evian,Water,1.43,17,0.05,23.09
Augustiner,Alcoholic Beverages,1.51,48,0.05,68.86
Tomato Juice,Juices,3.23,1,0.0,3.23
Volvic,Water,0.39,9,0.05,3.33
Kölsch,Alcoholic Beverages,0.93,6,0.0,5.58
Tomato Juice,Juices,3.23,13,0.0,41.99
Riesling,Alcoholic Beverages,4.32,1,0.0,4.32
Apollinaris,Water,0.93,9,0.0,8.37
Vio Wasser,Water,1.61,6,0.0,9.66
Veuve Clicquot,Alcoholic Beverages,53.68,66,0.1,3188.59
Vio Wasser,Water,1.71,3,0.0,5.13
Vittel,Water,0.65,8,0.0,5.2
Evian,Water,1.31,15,0.0,19.65
Fritz-Kola,Soft Drinks,2.05,14,0.0,28.7
Schwip Schwap,Soft Drinks,1.2,5,0.0,6.0
Volvic Touch,Water,1.38,10,0.0,13.8
Passion Fruit Juice,Juices,4.01,93,0.15,316.99
Evian,Water,0.86,8,0.05,6.54
San Pellegrino,Water,0.89,6,0.0,5.34
Monster,Soft Drinks,3.21,12,0.0,38.52
Volvic Touch,Water,1.42,7,0.0,9.94
Sprite,Soft Drinks,0.55,8,0.0,4.4
Mezzo Mix,Soft Drinks,0.7,27,0.05,17.95
Jever,Alcoholic Beverages,1.99,6,0.0,11.94
Beck's,Alcoholic Beverages,1.33,2,0.0,2.66
Mango Juice,Juices,3.31,8,0.0,26.48
Hohes C Orange,Juices,1.86,11,0.0,20.46
Rauch Multivitamin,Juices,3.33,78,0.15,220.78
Schwip Schwap,Soft Drinks,0.54,6,0.05,3.08
Tanqueray,Alcoholic Beverages,35.65,9,0.0,320.85
Tanqueray,Alcoholic Beverages,23.65,52,0.05,1168.31
Warsteiner,Alcoholic Beverages,1.49,71,0.1,95.21
Selters,Water,0.47,11,0.0,5.17
Selters,Water,0.49,12,0.0,5.88
Fritz-Kola,Soft Drinks,1.99,2,0.0,3.98
Club Mate,Soft Drinks,1.96,24,0.1,42.34
Moët & Chandon,Alcoholic Beverages,60.58,12,0.0,726.96
Jever,Alcoholic Beverages,1.94,2,0.0,3.88
Rauch Multivitamin,Juices,2.45,8,0.0,19.6
Tomato Juice,Juices,3.23,6,0.0,19.38
Krombacher,Alcoholic Beverages,1.63,12,0.0,19.56
Gerolsteiner,Water,1.56,81,0.15,107.41
Volvic Touch,Water,1.58,81,0.1,115.18
Granini Apple,Juices,1.13,19,0.05,20.4
Mountain Dew,Soft Drinks,0.99,14,0.0,13.86
Volvic,Water,0.58,3,0.0,1.74
San Pellegrino,Water,0.89,11,0.0,9.79
San Pellegrino,Water,0.91,100,0.15,77.35
Moët & Chandon,Alcoholic Beverages,129.24,49,0.1,5699.48
Kölsch,Alcoholic Beverages,0.99,3,0.0,2.97
Granini Apple,Juices,1.64,1,0.0,1.64
Rauch Multivitamin,Juices,2.14,2,0.05,4.07
Granini Apple,Juices,1.69,11,0.0,18.59
Vittel,Water,0.56,6,0.0,3.36
Cranberry Juice,Juices,3.46,12,0.0,41.52
Rockstar,Soft Drinks,2.21,9,0.0,19.89
Fanta,Soft Drinks,1.19,15,0.0,17.85
Kölsch,Alcoholic Beverages,0.99,5,0.0,4.95
Apollinaris,Water,0.99,3,0.0,2.97
Mango Juice,Juices,3.21,15,0.0,48.15
Monster,Soft Drinks,3.31,7,0.0,23.17
Granini Apple,Juices,1.64,9,0.0,14.76
Evian,Water,1.26,4,0.0,5.04
Rauch Multivitamin,Juices,2.31,9,0.0,20.79
Volvic Touch,Water,1.46,11,0.0,16.06
Jever,Alcoholic Beverages,1.88,12,0.0,22.56
Volvic Touch,Water,1.38,12,0.0,16.56
Johnnie Walker,Alcoholic Beverages,36.59,3,0.0,109.77
Mango Juice,Juices,3.31,13,0.0,43.03
Pepsi,Soft Drinks,1.58,15,0.0,23.7
Apollinaris,Water,0.93,7,0.0,6.51
Coca-Cola,Soft Drinks,1.04,4,0.0,4.16
Hohes C Orange,Juices,2.76,12,0.05,31.46
Tomato Juice,Juices,3.33,5,0.0,16.65
San Pellegrino,Water,0.86,8,0.0,6.88
Chardonnay,Alcoholic Beverages,4.88,9,0.0,43.92
Vittel,Water,0.58,3,0.0,1.74
Mezzo Mix,Soft Drinks,0.59,2,0.0,1.18
Kölsch,Alcoholic Beverages,0.96,14,0.0,13.44
Beck's,Alcoholic Beverages,1.41,13,0.0,18.33
Tomato Juice,Juices,2.58,3,0.05,7.35
Granini Apple,Juices,1.32,46,0.05,57.68
Sprite,Soft Drinks,0.55,7,0.0,3.85
Chardonnay,Alcoholic Beverages,11.66,65,0.1,682.11
Passion Fruit Juice,Juices,3.02,1,0.0,3.02
Granini Apple,Juices,1.64,9,0.0,14.76
Volvic,Water,0.42,51,0.05,20.35
Tomato Juice,Juices,2.26,19,0.05,40.79
Mango Juice,Juices,3.12,7,0.0,21.84
Fanta,Soft Drinks,1.07,80,0.15,72.76
Volvic,Water,0.68,17,0.05,10.98
Evian,Water,1.21,69,0.05,79.32
Mango Juice,Juices,2.27,66,0.05,142.33
Vittel,Water,0.56,9,0.0,5.04
Red Bull,Soft Drinks,2.35,8,0.0,18.8
Fanta,Soft Drinks,0.54,24,0.05,12.31
Fritz-Kola,Soft Drinks,2.05,9,0.0,18.45
San Pellegrino,Water,0.86,1,0.0,0.86
Havana Club,Alcoholic Beverages,13.35,9,0.0,120.15
Monster,Soft Drinks,2.1,47,0.05,93.76
Granini Apple,Juices,1.69,7,0.0,11.83
Club Mate,Soft Drinks,1.84,20,0.1,33.12
Veuve Clicquot,Alcoholic Beverages,109.19,1,0.0,109.19
Monster,Soft Drinks,3.21,10,0.0,32.1
Club Mate,Soft Drinks,2.26,9,0.0,20.34
Havana Club,Alcoholic Beverages,13.35,5,0.0,66.75
Krombacher,Alcoholic Beverages,1.59,3,0.0,4.77
Mezzo Mix,Soft Drinks,0.88,5,0.05,4.18
Red Bull,Soft Drinks,2.28,6,0.0,13.68
Tanqueray,Alcoholic Beverages,37.86,17,0.05,611.44
Granini Apple,Juices,1.59,13,0.0,20.67
Volvic,Water,0.4,48,0.05,18.24
Club Mate,Soft Drinks,2.13,8,0.0,17.04
Volvic Touch,Water,1.46,10,0.0,14.6
Vio Wasser,Water,1.61,2,0.0,3.22
Augustiner,Alcoholic Beverages,1.51,18,0.15,23.1
Mezzo Mix,Soft Drinks,1.03,72,0.1,66.74
Rotkäppchen Sekt,Alcoholic Beverages,8.29,1,0.0,8.29
Volvic Touch,Water,1.42,2,0.0,2.84
Evian,Water,1.26,14,0.0,17.64
Monster,Soft Drinks,1.89,29,0.05,52.07
San Pellegrino,Water,0.91,7,0.0,6.37
Kölsch,Alcoholic Beverages,1.62,6,0.15,8.26
Jack Daniels,Alcoholic Beverages,22.32,58,0.1,1165.1
Moët & Chandon,Alcoholic Beverages,120.53,93,0.1,10088.36
Vio Wasser,Water,1.61,2,0.0,3.22
Hohes C Orange,Juices,1.86,7,0.0,13.02
Mezzo Mix,Soft Drinks,0.59,9,0.0,5.31
Volvic Touch,Water,1.42,7,0.0,9.94
Chardonnay,Alcoholic Beverages,9.53,80,0.1,686.16
San Pellegrino,Water,0.43,6,0.05,2.45
Gerolsteiner,Water,1.07,12,0.0,12.84
Evian,Water,1.01,4,0.05,3.84
Gerolsteiner,Water,1.01,12,0.0,12.12
Chardonnay,Alcoholic Beverages,14.0,27,0.15,321.3
Granini Apple,Juices,1.38,10,0.05,13.11
Monster,Soft Drinks,3.12,14,0.0,43.68
Jever,Alcoholic Beverages,1.65,75,0.05,117.56
Club Mate,Soft Drinks,2.19,12,0.0,26.28
Club Mate,Soft Drinks,2.05,31,0.05,60.37
Mango Juice,Juices,3.21,3,0.0,9.63
Club Mate,Soft Drinks,2.19,7,0.0,15.33
Selters,Water,1.65,71,0.05,111.29
Sprite,Soft Drinks,0.55,7,0.0,3.85
Tomato Juice,Juices,3.33,9,0.0,29.97
Vittel,Water,0.56,10,0.0,5.6
Club Mate,Soft Drinks,2.34,93,0.1,195.86
Selters,Water,0.46,14,0.0,6.44
Vittel,Water,0.82,100,0.15,69.7
Mango Juice,Juices,3.21,7,0.0,22.47
Augustiner,Alcoholic Beverages,1.16,5,0.0,5.8
Apollinaris,Water,0.96,10,0.0,9.6
Sprite,Soft Drinks,1.13,80,0.15,76.84
Sprite,Soft Drinks,0.56,7,0.0,3.92
Monster,Soft Drinks,3.21,14,0.0,44.94
Volvic Touch,Water,1.38,5,0.0,6.9
Granini Apple,Juices,1.59,4,0.0,6.36
Volvic,Water,0.69,97,0.1,60.24
Hohes C Orange,Juices,2.4,88,0.15,179.52
Selters,Water,1.46,14,0.05,19.42
Veuve Clicquot,Alcoholic Beverages,95.1,49,0.1,4193.91
Volvic Touch,Water,1.02,2,0.05,1.94
Rauch Multivitamin,Juices,2.45,5,0.0,12.25
Vittel,Water,0.69,41,0.1,25.46
Passion Fruit Juice,Juices,3.55,61,0.1,194.9
Merlot,Alcoholic Beverages,4.86,2,0.05,9.23
Tanqueray,Alcoholic Beverages,34.61,2,0.0,69.22
Moët & Chandon,Alcoholic Beverages,98.72,59,0.15,4950.81
Evian,Water,1.31,7,0.0,9.17
Apollinaris,Water,0.96,13,0.0,12.48
Sprite,Soft Drinks,1.65,97,0.1,144.04
Rotkäppchen Sekt,Alcoholic Beverages,8.54,13,0.0,111.02
Cranberry Juice,Juices,3.67,15,0.0,55.05
Sauvignon Blanc,Alcoholic Beverages,10.73,17,0.05,173.29
Monster,Soft Drinks,3.31,3,0.0,9.93
Volvic Touch,Water,1.47,78,0.15,97.46
Hohes C Orange,Juices,1.75,10,0.0,17.5
Gerolsteiner,Water,1.04,15,0.0,15.6
Granini Apple,Juices,1.69,4,0.0,6.76
Jever,Alcoholic Beverages,1.23,8,0.05,9.35
Erdinger Weißbier,Alcoholic Beverages,2.08,42,0.1,78.62
Apollinaris,Water,0.84,22,0.05,17.56
Vittel,Water,0.65,4,0.0,2.6
Bacardi,Alcoholic Beverages,12.35,44,0.05,516.23
Rockstar,Soft Drinks,2.27,2,0.0,4.54
Kölsch,Alcoholic Beverages,2.46,70,0.1,154.98
Jack Daniels,Alcoholic Beverages,48.79,10,0.0,487.9
Cranberry Juice,Juices,3.56,8,0.0,28.48
Selters,Water,0.46,1,0.0,0.46
Pepsi,Soft Drinks,0.85,8,0.05,6.46
Monster,Soft Drinks,3.12,2,0.0,6.24
Gerolsteiner,Water,1.07,5,0.0,5.35
Rauch Multivitamin,Juices,2.39,64,0.1,137.66
Tomato Juice,Juices,3.23,7,0.0,22.61
Hohes C Orange,Juices,1.75,14,0.0,24.5
Hohes C Orange,Juices,1.86,12,0.0,22.32
Volvic Touch,Water,1.42,11,0.0,15.62
Beck's,Alcoholic Beverages,1.33,14,0.0,18.62
Cranberry Juice,Juices,3.46,4,0.0,13.84
Bacardi,Alcoholic Beverages,33.17,97,0.15,2734.87
Augustiner,Alcoholic Beverages,2.94,91,0.1,240.79
Tomato Juice,Juices,3.33,9,0.0,29.97
Gerolsteiner,Water,0.82,99,0.1,73.06
Red Bull,Soft Drinks,2.35,12,0.0,28.2
Mango Juice,Juices,3.12,8,0.0,24.96
Jack Daniels,Alcoholic Beverages,51.76,6,0.0,310.56
Vio Wasser,Water,1.71,14,0.0,23.94
Schwip Schwap,Soft Drinks,1.24,8,0.0,9.92
Tomato Juice,Juices,3.33,9,0.0,29.97
Chardonnay,Alcoholic Beverages,5.03,13,0.0,65.39
Evian,Water,0.76,57,0.1,38.99
Rauch Multivitamin,Juices,2.31,11,0.0,25.41
Hohes C Orange,Juices,1.86,2,0.0,3.72
Volvic Touch,Water,0.65,50,0.05,30.88
Bacardi,Alcoholic Beverages,32.45,39,0.05,1202.27
Selters,Water,0.47,4,0.0,1.88
Vittel,Water,0.94,99,0.15,79.1
Evian,Water,1.23,14,0.0,17.22
Gerolsteiner,Water,1.01,8,0.0,8.08
Hohes C Orange,Juices,1.86,7,0.0,13.02
Vio Wasser,Water,1.15,56,0.05,61.18
Apollinaris,Water,0.93,8,0.0,7.44
Red Bull,Soft Drinks,2.61,54,0.1,126.85
San Pellegrino,Water,0.86,13,0.0,11.18
Granini Apple,Juices,2.4,85,0.1,183.6
Granini Apple,Juices,1.64,5,0.0,8.2
Rockstar,Soft Drinks,1.74,28,0.05,46.28
Fritz-Kola,Soft Drinks,2.05,9,0.0,18.45
Monster,Soft Drinks,2.49,28,0.05,66.23
Jever,Alcoholic Beverages,1.88,5,0.0,9.4
Kölsch,Alcoholic Beverages,1.05,18,0.05,17.96
Rotkäppchen Sekt,Alcoholic Beverages,8.54,7,0.0,59.78
Monster,Soft Drinks,3.21,9,0.0,28.89
Moët & Chandon,Alcoholic Beverages,57.11,11,0.0,628.21
Monster,Soft Drinks,3.31,1,0.0,3.31
Pepsi,Soft Drinks,0.72,2,0.05,1.37
Rauch Multivitamin,Juices,2.45,11,0.0,26.95
Mango Juice,Juices,3.31,7,0.0,23.17
Pepsi,Soft Drinks,1.74,4,0.0,6.96
Mezzo Mix,Soft Drinks,1.04,47,0.05,46.44
Fritz-Kola,Soft Drinks,2.12,13,0.0,27.56
Havana Club,Alcoholic Beverages,29.16,37,0.15,917.08
Gerolsteiner,Water,1.07,11,0.0,11.77
Hohes C Orange,Juices,1.65,46,0.05,72.1
Augustiner,Alcoholic Beverages,1.09,7,0.0,7.63
Moët & Chandon,Alcoholic Beverages,58.82,3,0.0,176.46
Granini Apple,Juices,1.64,7,0.0,11.48
Selters,Water,0.46,5,0.0,2.3
Coca-Cola,Soft Drinks,0.61,56,0.05,32.45
Merlot,Alcoholic Beverages,6.99,10,0.1,62.91
Veuve Clicquot,Alcoholic Beverages,46.25,77,0.1,3205.12
Mango Juice,Juices,3.04,90,0.05,259.92
Granini Apple,Juices,1.59,1,0.0,1.59
Cranberry Juice,Juices,3.67,13,0.0,47.71
Cranberry Juice,Juices,3.56,15,0.0,53.4
Selters,Water,1.62,76,0.05,116.96
Kölsch,Alcoholic Beverages,0.96,1,0.0,0.96
Passion Fruit Juice,Juices,3.02,10,0.0,30.2
Chardonnay,Alcoholic Beverages,4.88,7,0.0,34.16
Bacardi,Alcoholic Beverages,14.26,7,0.0,99.82
Vittel,Water,0.64,11,0.0,7.04
Apollinaris,Water,1.14,48,0.05,51.98
San Pellegrino,Water,0.91,6,0.0,5.46
Mango Juice,Juices,3.31,8,0.0,26.48
Augustiner,Alcoholic Beverages,1.12,10,0.0,11.2
Hohes C Orange,Juices,2.68,96,0.1,231.55
Fritz-Kola,Soft Drinks,2.28,38,0.05,82.31
Vio Wasser,Water,1.66,99,0.1,147.91
Gerolsteiner,Water,1.01,1,0.0,1.01
San Pellegrino,Water,0.82,79,0.1,58.3
Fritz-Kola,Soft Drinks,2.52,40,0.05,95.76
Monster,Soft Drinks,2.85,74,0.1,189.81
Cranberry Juice,Juices,3.56,15,0.0,53.4
Sprite,Soft Drinks,0.53,15,0.0,7.95
Volvic Touch,Water,1.38,9,0.0,12.42
San Pellegrino,Water,0.89,11,0.0,9.79
Schwip Schwap,Soft Drinks,1.13,93,0.1,94.58
Passion Fruit Juice,Juices,2.93,11,0.0,32.23
Cranberry Juice,Juices,3.28,48,0.05,149.57
Cranberry Juice,Juices,2.66,17,0.05,42.96
Monster,Soft Drinks,2.82,75,0.1,190.35
Merlot,Alcoholic Beverages,4.35,15,0.0,65.25
Schwip Schwap,Soft Drinks,1.27,12,0.0,15.24
Mountain Dew,Soft Drinks,0.93,6,0.0,5.58
Evian,Water,1.24,49,0.1,54.68
Beck's,Alcoholic Beverages,1.33,9,0.0,11.97
Fanta,Soft Drinks,1.21,24,0.05,27.59
Mango Juice,Juices,3.12,13,0.0,40.56
Rotkäppchen Sekt,Alcoholic Beverages,8.54,15,0.0,128.1
Passion Fruit Juice,Juices,2.93,14,0.0,41.02
Selters,Water,0.46,7,0.0,3.22
Rauch Multivitamin,Juices,2.53,42,0.15,90.32
Tomato Juice,Juices,3.33,15,0.0,49.95
Volvic,Water,0.55,1,0.0,0.55
Schwip Schwap,Soft Drinks,1.24,7,0.0,8.68
Evian,Water,1.31,3,0.0,3.93
Pepsi,Soft Drinks,1.58,10,0.0,15.8
Warsteiner,Alcoholic Beverages,1.02,5,0.0,5.1
Passion Fruit Juice,Juices,3.74,51,0.1,171.67
Warsteiner,Alcoholic Beverages,1.08,6,0.0,6.48
Mountain Dew,Soft Drinks,1.24,68,0.1,75.89
Rotkäppchen Sekt,Alcoholic Beverages,8.54,8,0.0,68.32
Red Bull,Soft Drinks,2.35,4,0.0,9.4
Mountain Dew,Soft Drinks,1.14,84,0.1,86.18
Krombacher,Alcoholic Beverages,1.63,10,0.0,16.3
Evian,Water,0.75,71,0.1,47.92
Vio Wasser,Water,1.71,3,0.0,5.13
Selters,Water,0.47,4,0.0,1.88
Mango Juice,Juices,3.12,14,0.0,43.68
Moët & Chandon,Alcoholic Beverages,57.11,4,0.0,228.44
Sprite,Soft Drinks,0.56,15,0.0,8.4
Volvic,Water,0.62,50,0.05,29.45
Rotkäppchen Sekt,Alcoholic Beverages,8.29,6,0.0,49.74
Krombacher,Alcoholic Beverages,1.06,10,0.1,9.54
Cranberry Juice,Juices,2.69,9,0.05,23.0
Mango Juice,Juices,3.31,4,0.0,13.24
Mango Juice,Juices,3.21,7,0.0,22.47
Monster,Soft Drinks,3.31,5,0.0,16.55
Merlot,Alcoholic Beverages,4.22,10,0.0,42.2
Mountain Dew,Soft Drinks,0.89,42,0.1,33.64
Mezzo Mix,Soft Drinks,0.63,14,0.0,8.82
Hohes C Orange,Juices,1.75,10,0.0,17.5
Granini Apple,Juices,1.69,10,0.0,16.9
Selters,Water,0.95,89,0.15,71.87
Apollinaris,Water,0.96,15,0.0,14.4
Evian,Water,1.31,11,0.0,14.41
